# Personnage,Photo,Prénom,Nom,Village,Parti politique,Sexe,Age,Métier,Alibi,Alibi_EN,Indice physique en sa possession,Personnage essentiel?
40,photo/gee_me_084.jpg,Ulrich,Rey,Lens,PLR,M,57,Président de Lens,"17h00: Arrivée à la salle d'escalade du Crans Montana Sports Center
17h00 - 19h00: Grimpe
19h00 - 19h10: Récupérer sa voiture au parking de la Moubra, odeur marqué de cannabis
19h10 - 19h20: Retour à la maison
19h20 - 19h50: Préparer le dîner
19h50 - 20h30: Repas devant 2 épisodes de The Office
20h30 - 21h30: Lecture","5:00 p.m.: Arrival at the Crans Montana Sports Center climbing gym
5:00 p.m. - 7:00 p.m.: Climbing
7:00 p.m. - 7:10 p.m.: Pick up your car at the Moubra parking lot, strong smell of cannabis
7:10 p.m. - 7:20 p.m.: Return home
7:20 p.m. - 7:50 p.m.: Prepare dinner
7:50 p.m. - 8:30 p.m.: Meal in front of 2 episodes of The Office
8:30 p.m. - 9:30 p.m.: Reading",PV de l'assemblée du conseil communal,X
41,photo/gee_me_063.jpg,Nicolas,Clivaz,Crans-Montana,Le Centre,F,57,"Plombière + trombonniste à l'écho des bois, Crans-Montana","18h00 - 21h00: AG, Echo des Bois Crans Montana","6:00 p.m. - 9:00 p.m.: AGM, Echo des Bois Crans Montana",,
42,photo/gee_me_088.jpg,Oscar,Clivaz,Crans-Montana,Le Centre,M,67,Retraité,"Mari de Pascaline
18h00 - 19h30: Faire les devoirs avec son petit fils, Mattéo, à Sierre
19h30 - 20h00: Rentrer à la maison (Crans), supris de voir quelqu'un en jogging et capuchon sur la route de Chermignon
20h00 - 20h05: Se changer et se préparer
20h10 - 21h30: Repas au Molino avec Pascaline, sa femme","Husband of Pascaline
6:00 p.m. - 7:30 p.m.: Doing homework with his grandson, Mattéo, in Sierre
7:30 p.m. - 8:00 p.m.: Coming home (Crans), surprised to see someone in jogging pants and a hoodie on the road to Chermignon
8:00 p.m. - 8:05 p.m.: Change and get ready
8:10 p.m. - 9:30 p.m.: Meal at Molino with Pascaline, his wife",,X
43,photo/gee_me_066.jpg,Ophélie,Clivaz,Crans-Montana,PS,F,34,Prof de ski,"18h00 - 20h00: After-ski @ Zerodix avec Luc et Marielle
Écrit à Charlotte, mais elle n'a pas répondu à son WhatsApp
20h00 - 23h00: Faire la fête au New Pub avec Luc et Marielle","6:00 p.m. - 8:00 p.m.: After-ski @ Zerodix with Luc and Marielle
Wrote to Charlotte, but she didn't respond to her WhatsApp
8:00 p.m. - 11:00 p.m.: Party at the New Pub with Luc and Marielle",,X
44,photo/gee_me_090.jpg,Nicolas,Clivaz,Crans-Montana,PLR,M,51,"Ophtalmologue + Percussioniste à l'écho des bois, Crans-Montana","18h00 - 21h00: AG, Echo des Bois Crans Montana","6:00 p.m. - 9:00 p.m.: AGM, Echo des Bois Crans Montana",,
45,photo/gee_me_069.jpg,Pascaline,Clivaz,Crans-Montana,PS,F,32,Ingénieure civil,"Femme de Oscar
18h00 - 20h00: Heures supp au bureau
20h00 - 20h05: Se rendre au Molino
20h05 - 21h30: Repas au Molino avec son mari, Oscar","Oscar's wife
6:00 p.m. - 8:00 p.m.: Overtime in the office
8:00 p.m. - 8:05 p.m.: Go to Molino
8:05 p.m. - 9:30 p.m.: Meal at Molino with her husband, Oscar",,X
46,photo/gee_me_092.jpg,Sébastien,Clivaz,Crans-Montana,PLR,M,51,Responsable événementiel Alaïa,"18h00 - 19h00: Conférence de presse Alaïa Chalet
19h00 - 20h00: Apéro Alaïa Chalet
20h00 - 21h00: Rangement conférence de presse","6:00 p.m. - 7:00 p.m.: Alaïa Chalet press conference
7:00 p.m. - 8:00 p.m.: Apéro Alaïa Chalet
8:00 p.m. - 9:00 p.m.: Tidying up press conference",,
47,photo/gee_me_070.jpg,Théodora,Clivaz,Crans-Montana,Le Centre,F,27,"Éleveuse de vaches + Flûtiste à l'écho des bois, Crans-Montana","18h00 - 21h00: AG, Echo des Bois Crans Montana","6:00 p.m. - 9:00 p.m.: AGM, Echo des Bois Crans Montana",,
48,photo/gee_me_094.jpg,Michaël,Clivaz,Crans-Montana,MDC,M,15,"Apprenti ébéniste, joue au FC Montana","18h50 - 18h55: Venu à pied depuis chemin des coccinelles. Vois une très belle Bentley noir avec des plaques autrichiennes parqué à côté d'un corbillard.
18h55 - 19h00: Se rendre au terrain de foot
19h00 - 19h30: Vestiaire
19h30 - 21h00: Entraînement FC Montana","6:50 p.m. - 6:55 p.m.: Come on foot from Chemin des Coccinelles. See a very nice black Bentley with Austrian plates parked next to a hearse.
6:55 p.m. - 7:00 p.m.: Go to the football field
7:00 p.m. - 7:30 p.m.: Locker room
7:30 p.m. - 9:00 p.m.: FC Montana training",,X
49,photo/gee_me_072.jpg,Ylenia,Barras,Chermignon,PLR,F,45,Chauffeur de bus B353,18h00 - 22h00: Travail,6:00 p.m. - 10:00 p.m.: Work,Carte chauffeur bus B353 (C),X
50,photo/gee_me_001.jpg,Bernard,Barras,Chermignon,Le Centre,M,60,Président de Chermignon,"18h00 - 19h00: Séance de conseil communal
19h00 - 21h00: Repas au Relais Fleuri ","6:00 p.m. - 7:00 p.m.: Municipal council session
7:00 p.m. - 9:00 p.m.: Meal at Relais Fleuri ",,
51,photo/gee_me_005.jpg,Ludovic,Barras,Chermignon,PS,M,48,Pharmacien,"18h00 - 18h30: Travail (Lens)
18h30 - 19h00: Se rendre à Sion
19h00 - 20h00: Cours de kickboxing
20h00 - 20h30: Revenir à Chermignon
20h30 - 21h00: Poulet + broccoli","6:00 p.m. - 6:30 p.m.: Work (Lens)
6:30 p.m. - 7:00 p.m.: Go to Sion
7:00 p.m. - 8:00 p.m.: Kickboxing class
8:00 p.m. - 8:30 p.m.: Return to Chermignon
8:30 p.m. - 9:00 p.m.: Chicken + broccoli",,
52,photo/gee_me_007.jpg,François,Barras,Chermignon,PS,M,37,"Secrétaire communale, membre du groupement sportif de Chermignon","Vous êtes le voleur! Il faut raconter votre mensonge, et garder la vérité secrète.

MENSONGE
18h00 - 18h20: parquer voiture devant chez Martine
18h26: Prend le bus B421 à Lens, Centre d'Art
18h31: Sort à l'arrêt Chermignon, d'en-Haut
18h35 - 19h30: diner
19h30 - 20h50: Trail via le Grand-Bisse de Lens, passer par Icogne chemin de la Messe pour rejoindre Lens
20h50 - 21h10: rentrer en voiture

VÉRITÉ
18h00 - 18h20: parquer voiture devant chez Martine
18h26: Prend le bus B421 à Lens, Centre d'Art
18h31: Sort à l'arrêt Chermignon, d'en-Haut
18h35 - 19h30: diner
19h30 - 20h30: Chermignon - Lens à pied via route Cantonale, pas par le. bisse
20h30 - 20h40: Voler la statue
20h40 - 21h00: Rentrer en voiture","You are the thief! You must tell your lie, and keep the truth secret.

LIE
6:00 p.m. - 6:20 p.m.: park your car in front of Martine’s
6:26 p.m.: Take bus B421 to Lens, Art Center
6:31 p.m.: Exit at the Chermignon stop, from above
6:35 p.m. - 7:30 p.m.: dinner
7:30 p.m. - 8:50 p.m.: Trail via the Grand-Bisse de Lens, go through Icogne chemin de la Messe to reach Lens
8:50 p.m. - 9:10 p.m.: return by car

TRUTH
6:00 p.m. - 6:20 p.m.: park your car in front of Martine’s
6:26 p.m.: Take bus B421 to Lens, Art Center
6:31 p.m.: Exit at the Chermignon stop, from above
6:35 p.m. - 7:30 p.m.: dinner
7:30 p.m. - 8:30 p.m.: Chermignon - Lens on foot via Cantonal road, not by. bisse
8:30 p.m. - 8:40 p.m.: Steal the statue
8:40 p.m. - 9:00 p.m.: Return by car",,VOLEUR + MENTEUR
53,photo/gee_me_074.jpg,Annabelle,Barras,Chermignon,PLR,F,38,Maçon,"Travail sur le chantier de Nant de Drance, dors sur place ","Work on the Nant de Drance construction site, sleep on site ",,
54,photo/gee_me_008.jpg,Jean,Barras,Chermignon,Le Centre,M,32,"Psychiatre + Saxophoniste à l'écho des bois, Crans-Montana","18h00 - 21h00: AG, Echo des Bois Crans Montana","6:00 p.m. - 9:00 p.m.: AGM, Echo des Bois Crans Montana",,
55,photo/gee_me_082.jpg,Brigitte,Barras,Chermignon,MDC,F,62,Géomètre,En vacances à Europapark avec les petits enfants,On vacation at Europapark with the little children,,
56,photo/gee_me_010.jpg,Igor,Barras,Chermignon,PLR,M,54,Réceptionniste du Crans Ambassador,18h00 - 22h00: Travail,6:00 p.m. - 10:00 p.m.: Work,,
57,photo/gee_me_095.jpg,Marielle,Berclaz,Randogne,PLR,F,29,Prof de ski,"18h00 - 20h00: After-ski @ Zerodix avec Ophélie et Luc
20h00 - 23h00: Faire la fête au New Pub avec Ophélie et Luc","6:00 p.m. - 8:00 p.m.: After-ski @ Zerodix with Ophélie and Luc
8:00 p.m. - 11:00 p.m.: Party at the New Pub with Ophélie and Luc",,X
58,photo/gee_me_013.jpg,Valentin,Von Habsbourg,Randogne,PLR,M,59,Directeur de l'Ecole Les Roches,"Vous êtes un menteur! Il faut raconter votre mensonge, et garder la vérité secrète.

MENSONGE
18h55 - 19h05: Rentrer à la maison, Cascades d'Eden 2
19h10 - 19h30: Poser ses affaires, décompresser
19h30 - 20h00: Dîner en famille
20h00 - 20h30: Vaisselle
20h30 - 21h00: Se rendre à Sierre
21h00 - 23h00: Répétition avec son groupe de reggae ""The Zion Warriors""

VÉRITÉ
18h45 - 18h55: Parti du travail, s'est rendu à la Moubra
19h00 - 19h05: Rencontre avec Jean-Luc et achat de cannabis
19h05 - 19h10: Rentrer à la maison
19h10 - 19h30: Poser ses affaires, décompresser
19h30 - 20h00: Dîner en famille
20h00 - 20h30: Vaisselle
20h30 - 21h00: Se rendre à Sierre
21h00 - 23h00: Répétition avec son groupe de reggae ""The Zion Warriors""","You are a liar! You must tell your lie, and keep the truth secret.

LIE
6:55 p.m. - 7:05 p.m.: Coming home, Cascades d’Eden 2
7:10 p.m. - 7:30 p.m.: Put down your things, unwind
7:30 p.m. - 8:00 p.m.: Family dinner
8:00 p.m. - 8:30 p.m.: Dishes
8:30 p.m. - 9:00 p.m.: Go to Sierre
9:00 p.m. - 11:00 p.m.: Rehearsal with his reggae group “The Zion Warriors”

TRUTH
6:45 p.m. - 6:55 p.m.: Left work, went to Moubra
7:00 p.m. - 7:05 p.m.: Meeting with Jean-Luc and purchase of cannabis
7:05 p.m. - 7:10 p.m.: Go home
7:10 p.m. - 7:30 p.m.: Put down your things, unwind
7:30 p.m. - 8:00 p.m.: Family dinner
8:00 p.m. - 8:30 p.m.: Dishes
8:30 p.m. - 9:00 p.m.: Go to Sierre
9:00 p.m. - 11:00 p.m.: Rehearsal with his reggae group “The Zion Warriors”",,MENTEUR - Consommateur
59,photo/gee_me_055.jpg,Amanda,Berclaz,Randogne,MDC,F,34,"Ebéniste + Clarinettiste à l'écho des bois, Crans-Montana","18h00 - 21h00: AG, Echo des Bois Crans Montana","6:00 p.m. - 9:00 p.m.: AGM, Echo des Bois Crans Montana",,
60,photo/gee_me_016.jpg,Patrick,Berclaz,Randogne,Le Centre,M,36,Chômage,18h00 - 22h00: Jouer à Halo sur Xbox,6:00 p.m. - 10:00 p.m.: Play Halo on Xbox,,
